priref,lref,soort,url,personen
263151,10348661,digital image,https://media.rkd.nl/iiif/10348661/full/max/0/default.jpg,"[{'nummer': '206324', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
263594,10348671,digital image,https://media.rkd.nl/iiif/10348671/full/max/0/default.jpg,"[{'nummer': '206324', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
263939,10348701,digital image,https://media.rkd.nl/iiif/10348701/full/max/0/default.jpg,"[{'nummer': '206323', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
264430,10205683,color photograph,https://media.rkd.nl/iiif/10205683/full/max/0/default.jpg,"[{'nummer': '110126', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
272677,10667713,black and white photograph,https://media.rkd.nl/iiif/10667713/full/max/0/default.jpg,[]
273254,10291795,black and white photograph,https://media.rkd.nl/iiif/10291795/full/max/0/default.jpg,"[{'nummer': '104460', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
273682,10667911,black and white photograph,https://media.rkd.nl/iiif/10667911/full/max/0/default.jpg,[]
274170,10667082,digital image,https://media.rkd.nl/iiif/10667082/full/max/0/default.jpg,"[{'nummer': '207026', 'zekerheid': 'waarschijnlijk', 'beschrijving': None, 'status': 'huidig'}]"
274638,10667625,digital image,https://media.rkd.nl/iiif/10667625/full/max/0/default.jpg,[]
274638,10667626,digital image,https://media.rkd.nl/iiif/10667626/full/max/0/default.jpg,[]
275014,10668582,digital image,https://media.rkd.nl/iiif/10668582/full/max/0/default.jpg,"[{'nummer': '207076', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
276077,10291870,black and white photograph,https://media.rkd.nl/iiif/10291870/full/max/0/default.jpg,[]
277494,10671272,digital image,https://media.rkd.nl/iiif/10671272/full/max/0/default.jpg,[]
277495,10671273,digital image,https://media.rkd.nl/iiif/10671273/full/max/0/default.jpg,[]
277498,10671276,digital image,https://media.rkd.nl/iiif/10671276/full/max/0/default.jpg,[]
279443,10674021,color reproduction,https://media.rkd.nl/iiif/10674021/full/max/0/default.jpg,[]
279446,10352887,color reproduction,https://media.rkd.nl/iiif/10352887/full/max/0/default.jpg,[]
279448,10674023,color reproduction,https://media.rkd.nl/iiif/10674023/full/max/0/default.jpg,[]
279448,10352888,color reproduction,https://media.rkd.nl/iiif/10352888/full/max/0/default.jpg,[]
279460,9174424,color reproduction,https://media.rkd.nl/iiif/9174424/full/max/0/default.jpg,[]
279464,10674027,digital image,https://media.rkd.nl/iiif/10674027/full/max/0/default.jpg,[]
279464,10302141,color reproduction,https://media.rkd.nl/iiif/10302141/full/max/0/default.jpg,[]
279466,10352903,color reproduction,https://media.rkd.nl/iiif/10352903/full/max/0/default.jpg,"[{'nummer': '207357', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
279466,10302108,color reproduction,https://media.rkd.nl/iiif/10302108/full/max/0/default.jpg,"[{'nummer': '207357', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
279469,10674029,color reproduction,https://media.rkd.nl/iiif/10674029/full/max/0/default.jpg,[]
279473,10674038,digital image,https://media.rkd.nl/iiif/10674038/full/max/0/default.jpg,[]
279473,10302109,color reproduction,https://media.rkd.nl/iiif/10302109/full/max/0/default.jpg,[]
279473,10302104,color reproduction,https://media.rkd.nl/iiif/10302104/full/max/0/default.jpg,[]
279477,10302062,black-and-white reproduction,https://media.rkd.nl/iiif/10302062/full/max/0/default.jpg,[]
279488,10302089,black-and-white reproduction,https://media.rkd.nl/iiif/10302089/full/max/0/default.jpg,[]
279489,10302094,black and white photograph,https://media.rkd.nl/iiif/10302094/full/max/0/default.jpg,[]
279491,10302100,black-and-white reproduction,https://media.rkd.nl/iiif/10302100/full/max/0/default.jpg,[]
279492,10302092,black and white photograph,https://media.rkd.nl/iiif/10302092/full/max/0/default.jpg,[]
279506,10302091,black and white photograph,https://media.rkd.nl/iiif/10302091/full/max/0/default.jpg,[]
279507,10302110,color reproduction,https://media.rkd.nl/iiif/10302110/full/max/0/default.jpg,[]
279918,10302106,color reproduction,https://media.rkd.nl/iiif/10302106/full/max/0/default.jpg,[]
279922,10302093,BD/RKD/1600 - MHK/The Netherlands/Paintings and Drawings,https://media.rkd.nl/iiif/10302093/full/max/0/default.jpg,[]
279935,10302098,black and white photograph,https://media.rkd.nl/iiif/10302098/full/max/0/default.jpg,[]
280075,10302103,black-and-white reproduction,https://media.rkd.nl/iiif/10302103/full/max/0/default.jpg,[]
280087,10302096,black and white photograph,https://media.rkd.nl/iiif/10302096/full/max/0/default.jpg,[]
280100,10302105,black and white photograph,https://media.rkd.nl/iiif/10302105/full/max/0/default.jpg,[]
280101,10302097,color reproduction,https://media.rkd.nl/iiif/10302097/full/max/0/default.jpg,[]
282593,10677713,color reproduction,https://media.rkd.nl/iiif/10677713/full/max/0/default.jpg,"[{'nummer': '142835', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
283942,10679853,black and white photograph,https://media.rkd.nl/iiif/10679853/full/max/0/default.jpg,"[{'nummer': '119097', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
283944,10679854,black and white photograph,https://media.rkd.nl/iiif/10679854/full/max/0/default.jpg,"[{'nummer': '207702', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
287519,11115464,digital image,https://media.rkd.nl/iiif/11115464/full/max/0/default.jpg,[]
288060,10803127,digital image,https://media.rkd.nl/iiif/10803127/full/max/0/default.jpg,[]
288403,10803746,digital color photograph,https://media.rkd.nl/iiif/10803746/full/max/0/default.jpg,"[{'nummer': '102750', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
288414,10803745,digital color photograph,https://media.rkd.nl/iiif/10803745/full/max/0/default.jpg,"[{'nummer': '208092', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
288952,10687792,digital image,https://media.rkd.nl/iiif/10687792/full/max/0/default.jpg,"[{'nummer': '114382', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
289000,10687857,digital image,https://media.rkd.nl/iiif/10687857/full/max/0/default.jpg,[]
289030,10687953,color reproduction,https://media.rkd.nl/iiif/10687953/full/max/0/default.jpg,[]
289043,10687974,digital image,https://media.rkd.nl/iiif/10687974/full/max/0/default.jpg,[]
290529,10803744,digital color photograph,https://media.rkd.nl/iiif/10803744/full/max/0/default.jpg,"[{'nummer': '125078', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
295174,10899867,BD/Digital Collection,https://media.rkd.nl/iiif/10899867/full/max/0/default.jpg,"[{'nummer': '208371', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
295471,10463748,digital color photograph,https://media.rkd.nl/iiif/10463748/full/max/0/default.jpg,"[{'nummer': '123123', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
296848,10703927,BD/Digital Collection,https://media.rkd.nl/iiif/10703927/full/max/0/default.jpg,"[{'nummer': '114449', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
296889,10464094,black-and-white reproduction,https://media.rkd.nl/iiif/10464094/full/max/0/default.jpg,[]
298583,10708429,digital image,https://media.rkd.nl/iiif/10708429/full/max/0/default.jpg,[]
298863,10709382,BD/Digital Collection,https://media.rkd.nl/iiif/10709382/full/max/0/default.jpg,[]
298931,10709530,BD/Digital Collection,https://media.rkd.nl/iiif/10709530/full/max/0/default.jpg,[]
298931,10709529,BD/Digital Collection,https://media.rkd.nl/iiif/10709529/full/max/0/default.jpg,[]
300328,10710814,BD/Digital Collection,https://media.rkd.nl/iiif/10710814/full/max/0/default.jpg,[]
301182,10902278,digital image,https://media.rkd.nl/iiif/10902278/full/max/0/default.jpg,[]
304515,10841726,BD/Digital Collection,https://media.rkd.nl/iiif/10841726/full/max/0/default.jpg,[]
304809,10716449,digital color photograph,https://media.rkd.nl/iiif/10716449/full/max/0/default.jpg,"[{'nummer': '208574', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
305910,10632542,digital image,https://media.rkd.nl/iiif/10632542/full/max/0/default.jpg,[]
306306,10718696,BD/Digital Collection,https://media.rkd.nl/iiif/10718696/full/max/0/default.jpg,[]
307081,10719678,BD/Digital Collection,https://media.rkd.nl/iiif/10719678/full/max/0/default.jpg,[]
307091,10719727,black and white photograph,https://media.rkd.nl/iiif/10719727/full/max/0/default.jpg,[]
307199,10816396,digital image,https://media.rkd.nl/iiif/10816396/full/max/0/default.jpg,[]
307200,10816397,digital image,https://media.rkd.nl/iiif/10816397/full/max/0/default.jpg,[]
307201,10816398,digital image,https://media.rkd.nl/iiif/10816398/full/max/0/default.jpg,[]
307202,10816400,digital image,https://media.rkd.nl/iiif/10816400/full/max/0/default.jpg,[]
307219,10816418,digital image,https://media.rkd.nl/iiif/10816418/full/max/0/default.jpg,[]
307220,10816429,digital image,https://media.rkd.nl/iiif/10816429/full/max/0/default.jpg,[]
308311,10853245,digital image,https://media.rkd.nl/iiif/10853245/full/max/0/default.jpg,[]
308612,10848988,digital color photograph,https://media.rkd.nl/iiif/10848988/full/max/0/default.jpg,"[{'nummer': '208737', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
308942,10849007,digital color photograph,https://media.rkd.nl/iiif/10849007/full/max/0/default.jpg,"[{'nummer': '208743', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
308944,10849006,digital color photograph,https://media.rkd.nl/iiif/10849006/full/max/0/default.jpg,"[{'nummer': '208744', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
308947,10849012,digital color photograph,https://media.rkd.nl/iiif/10849012/full/max/0/default.jpg,"[{'nummer': '208743', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
309362,10876825,color reproduction,https://media.rkd.nl/iiif/10876825/full/max/0/default.jpg,[]
310818,10899591,digital image,https://media.rkd.nl/iiif/10899591/full/max/0/default.jpg,[]
311420,10900238,digital color photograph,https://media.rkd.nl/iiif/10900238/full/max/0/default.jpg,[]
311527,10900505,digital color photograph,https://media.rkd.nl/iiif/10900505/full/max/0/default.jpg,[]
