priref,artist_name,date,objectcat,lrefs_in_xml,reason
125380,Anoniem,1629,painting,10783267,only excluded placeholder lrefs available: 10783267
125381,Anoniem,1668,painting,10783267,only excluded placeholder lrefs available: 10783267
125388,"Santvoort, Dirck Dircksz.",1645,painting,10783267,only excluded placeholder lrefs available: 10783267
125391,"Keyser, Thomas de",1632,painting,10783267,only excluded placeholder lrefs available: 10783267
125392,Anoniem,1664,painting,10783267,only excluded placeholder lrefs available: 10783267
125393,"Pickenoy, Nicolaes Eliasz.",1630,painting,10783267,only excluded placeholder lrefs available: 10783267
125394,"Pickenoy, Nicolaes Eliasz.",1631,painting,10783267,only excluded placeholder lrefs available: 10783267
125395,"Mierevelt, Jan van",1624,painting,10783267,only excluded placeholder lrefs available: 10783267
125397,"Mierevelt, Michiel van",1623,painting,10783267,only excluded placeholder lrefs available: 10783267
125399,"Mierevelt, Michiel van",1621,painting,10783267,only excluded placeholder lrefs available: 10783267
125400,"Mierevelt, Michiel van",1621,painting,10783267,only excluded placeholder lrefs available: 10783267
125401,Anoniem,1587,painting,10783267,only excluded placeholder lrefs available: 10783267
125402,Anoniem,1544,painting,10783267,only excluded placeholder lrefs available: 10783267
125406,Anoniem,1635,painting,10783267,only excluded placeholder lrefs available: 10783267
125408,"Ravesteyn, Jan van",1635,painting,10783267,only excluded placeholder lrefs available: 10783267
125409,"Pickenoy, Nicolaes Eliasz.",1637,painting,10783267,only excluded placeholder lrefs available: 10783267
125410,"Pickenoy, Nicolaes Eliasz.",1625,painting,10783267,only excluded placeholder lrefs available: 10783267
125411,"Mierevelt, Michiel van",1629,painting,10783267,only excluded placeholder lrefs available: 10783267
125413,"Palamedes, Anthonie",1658,painting,10783267,only excluded placeholder lrefs available: 10783267
125414,"Ravesteyn, Jan van",1635,painting,10783267,only excluded placeholder lrefs available: 10783267
125415,Anoniem,1622,painting,10783267,only excluded placeholder lrefs available: 10783267
125416,"Braij, Jan de",1668,painting,10783267,only excluded placeholder lrefs available: 10783267
125417,"Braij, Jan de",1668,painting,10783267,only excluded placeholder lrefs available: 10783267
125419,Anoniem,1631,painting,10783267,only excluded placeholder lrefs available: 10783267
125420,Anoniem,1615,painting,10783267,only excluded placeholder lrefs available: 10783267
125421,Anoniem,1615,painting,10783267,only excluded placeholder lrefs available: 10783267
125428,"Heemskerck, Maarten van",1561,painting,10783267,only excluded placeholder lrefs available: 10783267
125429,"Jonxis, Jan Lodewijk",1804,painting,10783267,only excluded placeholder lrefs available: 10783267
125433,"Wiegers, Jan",1927,painting,10783267,only excluded placeholder lrefs available: 10783267
